Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;26.10.2002;Montpellier;Troyes;2;2;D;1;1;D;1.909;3;mar.75;02.lut;03.sty;03.lip;sty.85;3;03.sie;2;3;03.kwi;1.909;03.sty;mar.75;01.wrz;3;mar.75;02.maj;01.cze
F1;26.10.2002;Nice;Lens;0;0;D;0;0;D;1.909;3;mar.75;02.cze;3;03.cze;02.sty;02.sie;03.mar;02.sty;3;03.lut;2;3;03.cze;02.sty;lut.87;03.mar;02.maj;01.cze
F1;26.10.2002;Paris SG;Marseille;3;0;H;2;0;H;1.833;3;4;sty.85;3;kwi.35;sty.85;3;03.sie;sty.83;03.lut;mar.75;1.833;03.sty;4;sty.83;3;4;sty.95;sty.65
F1;26.10.2002;Strasbourg;Bastia;2;0;H;1;0;H;1.909;3;mar.75;02.lut;3;03.sie;01.wrz;02.wrz;03.sie;sty.91;03.lut;03.maj;1.909;03.sty;mar.75;sty.83;3;4;sty.95;sty.65
F1;02.11.2002;Bastia;Lille;1;0;H;1;0;H;02.lut;3;3;lut.15;3;03.mar;02.lut;02.sie;03.sty;02.sty;3;03.lut;02.lut;3;03.sty;02.lut;02.sie;03.lut;01.wrz;01.lip
F1;02.11.2002;Lens;Auxerre;3;1;H;2;1;H;lut.25;3;02.wrz;02.mar;3;3;02.mar;02.sie;02.wrz;02.lut;3;3;02.lut;3;03.sty;02.lut;lut.87;03.sty;02.maj;01.cze
F1;02.11.2002;Lyon;Nice;2;2;D;0;1;A;1.667;03.sty;5;sty.71;mar.21;5;sty.65;03.lut;04.cze;sty.67;mar.25;04.maj;1.667;03.lut;5;sty.57;03.mar;05.maj;sty.75;sty.85
F1;02.11.2002;Marseille;Montpellier;2;0;H;1;0;H;1.533;mar.25;6;sty.56;mar.45;6;sty.55;03.mar;05.lut;sty.61;03.lut;05.maj;1.571;03.kwi;05.maj;sty.53;03.mar;6;01.wrz;01.lip
F1;02.11.2002;Monaco;Le Havre;1;1;D;1;0;H;1.533;mar.25;6;sty.56;mar.45;6;sty.55;03.mar;05.lut;sty.57;mar.25;05.maj;1.571;03.kwi;05.maj;sty.53;03.mar;6;01.wrz;01.lip
F1;02.11.2002;Rennes;Ajaccio;0;0;D;0;0;D;1.909;3;mar.75;2;03.maj;mar.65;01.wrz;02.wrz;03.sie;2;03.lut;03.lut;1.909;3;mar.75;01.wrz;3;mar.75;01.wrz;01.lip
F1;02.11.2002;Sochaux;Strasbourg;2;0;H;1;0;H;1.833;3;4;sty.86;03.sty;04.lut;01.sie;3;4;01.sie;03.lut;4;sty.75;03.sty;04.maj;01.sie;03.sty;4;sty.85;sty.75
F1;02.11.2002;Troyes;Guingamp;0;2;A;0;1;A;02.sty;3;03.lut;02.lut;3;03.lut;02.sty;02.sie;03.mar;02.lut;3;3;02.lut;3;03.sty;02.sty;3;03.lut;01.wrz;01.lip
F1;03.11.2002;Nantes;Bordeaux;0;0;D;0;0;D;02.mar;3;02.sie;02.mar;3;3;02.kwi;02.wrz;02.lip;02.sty;3;03.lut;02.mar;02.wrz;3;lut.25;02.sie;03.sty;sty.95;sty.65
F1;03.11.2002;Sedan;Paris SG;3;1;H;1;1;D;2.875;3;lut.25;3;3;02.mar;02.lip;02.sie;02.maj;lut.75;3;lut.37;3;02.wrz;02.mar;02.wrz;02.wrz;02.mar;01.wrz;01.lip
F1;07.11.2002;Ajaccio;Auxerre;1;0;H;0;0;D;02.sie;2.875;2.375;lut.75;3;lut.45;02.lip;02.wrz;02.kwi;;;;lut.75;2.875;02.kwi;02.sie;02.wrz;lut.37;sty.95;sty.65
F1;07.11.2002;Le Havre;Lyon;1;2;A;0;1;A;2.875;3;lut.25;03.sty;02.wrz;02.mar;3;02.wrz;02.lut;;;;3;2.875;lut.25;03.mar;lut.87;02.sty;02.maj;01.cze
F1;08.11.2002;Nice;Monaco;1;0;H;1;0;H;02.sty;3;03.lut;lut.34;3;mar.16;02.kwi;02.lip;02.wrz;02.sty;3;03.lut;02.lut;3;03.lut;02.lut;02.sie;03.lut;2;01.lip
F1;09.11.2002;Bordeaux;Rennes;2;0;H;1;0;H;sty.66;03.sty;5;sty.64;mar.45;05.kwi;01.cze;03.mar;04.sie;sty.67;03.lut;5;1.571;03.kwi;05.maj;sty.57;03.mar;05.maj;01.wrz;sty.74
F1;09.11.2002;Guingamp;Marseille;0;0;D;0;0;D;02.maj;lut.87;lut.62;lut.65;03.lis;02.lip;02.mar;02.sie;02.wrz;02.maj;03.lut;02.maj;02.maj;3;02.lip;02.maj;02.wrz;lut.62;sty.96;01.lip
F1;09.11.2002;Lille;Nantes;0;1;A;0;0;D;01.sie;3;04.lut;01.wrz;03.lut;04.gru;01.sie;3;4;01.sie;03.lut;4;1.833;03.sty;4;01.sie;03.sty;4;2;sty.65
F1;09.11.2002;Montpellier;Sedan;2;0;H;1;0;H;02.lut;3;3;02.mar;03.sty;mar.28;02.kwi;02.lip;02.wrz;02.sty;3;03.lut;lut.25;2.875;03.lut;02.sty;lut.87;03.mar;2;sty.65
F1;09.11.2002;Paris SG;Sochaux;1;1;D;0;0;D;sty.66;03.sty;5;01.lip;mar.31;maj.25;sty.65;03.lut;04.cze;sty.61;03.lut;05.maj;01.cze;03.kwi;05.maj;sty.61;03.sty;05.maj;sty.98;sty.75
F1;09.11.2002;Strasbourg;Lens;2;0;H;1;0;H;lut.25;3;lut.87;lut.38;03.gru;3;02.mar;02.sie;02.wrz;lut.37;3;lut.75;02.mar;3;3;lut.37;lut.87;02.sie;02.maj;01.cze
F1;09.11.2002;Troyes;Bastia;3;0;H;1;0;H;02.lut;3;3;lut.27;3;mar.15;02.sty;02.wrz;03.lut;02.kwi;03.lut;02.maj;02.lut;3;03.lut;02.sty;3;03.lut;02.maj;01.cze
F1;14.11.2002;Monaco;Ajaccio;3;2;H;0;0;D;sty.66;03.sty;5;sty.67;03.mar;maj.35;01.lip;03.sty;04.kwi;;;;01.cze;mar.25;05.maj;sty.61;03.sty;05.maj;01.wrz;01.lip
F1;16.11.2002;Auxerre;Nice;0;2;A;0;0;D;1.909;3;mar.75;01.wrz;03.sty;kwi.25;01.sie;3;4;01.sie;03.lut;4;1.909;3;4;01.wrz;3;mar.75;sty.91;01.lip
F1;16.11.2002;Bastia;Guingamp;0;2;A;0;1;A;01.sie;3;04.lut;sty.85;mar.15;4;sty.85;3;03.sie;sty.91;03.lut;03.maj;sty.85;03.sty;4;01.wrz;3;mar.75;sty.91;01.lip
F1;16.11.2002;Lyon;Bordeaux;4;2;H;1;2;A;1.727;03.sty;04.maj;sty.75;03.lut;kwi.75;01.sie;3;4;sty.67;mar.25;04.maj;01.lip;03.lut;kwi.75;sty.72;03.sty;04.maj;sty.86;sty.75
F1;16.11.2002;Marseille;Troyes;0;0;D;0;0;D;01.maj;03.kwi;6;sty.55;mar.45;cze.65;01.maj;03.maj;05.kwi;sty.57;mar.25;05.maj;01.maj;03.kwi;06.maj;01.maj;03.mar;06.maj;sty.91;01.lip
F1;16.11.2002;Nantes;Strasbourg;4;1;H;1;1;D;2;3;03.kwi;2;03.maj;03.cze;2;02.wrz;03.kwi;2;3;03.kwi;02.sty;3;03.mar;2;3;03.kwi;sty.95;sty.65
F1;16.11.2002;Rennes;Le Havre;0;0;D;0;0;D;2;3;03.kwi;sty.96;03.maj;03.lip;01.wrz;3;03.cze;2;3;03.kwi;02.maj;3;03.kwi;01.wrz;lut.87;4;sty.95;sty.65
F1;16.11.2002;Sedan;Lille;0;1;A;0;0;D;02.sty;3;03.lut;2;03.sty;mar.55;2;02.wrz;03.kwi;2;3;03.kwi;02.sty;3;mar.25;2;3;03.kwi;sty.95;sty.65
F1;16.11.2002;Sochaux;Montpellier;0;0;D;0;0;D;1.615;mar.25;5;sty.62;03.kwi;05.cze;01.cze;03.lut;5;sty.62;mar.25;5;1.615;03.kwi;5;sty.61;03.mar;5;sty.91;01.lip
F1;17.11.2002;Lens;Paris SG;3;2;H;1;1;D;lut.25;3;2.875;02.mar;lut.95;3;02.mar;02.sie;02.wrz;lut.38;lut.88;02.sie;02.mar;3;3;lut.25;02.sie;03.sty;sty.95;sty.65
F1;22.11.2002;Paris SG;Nantes;0;1;A;0;1;A;1.727;03.sty;04.maj;sty.71;mar.35;05.lut;sty.65;03.lut;04.cze;;;;1.667;03.lut;5;sty.66;03.sty;5;01.wrz;sty.77
F1;23.11.2002;Bordeaux;Ajaccio;1;0;H;1;0;H;1.667;2.875;05.maj;sty.73;03.mar;05.lut;sty.65;03.lut;04.cze;;;;1.667;03.lut;5;sty.61;03.sty;05.maj;01.wrz;01.lip
F1;23.11.2002;Guingamp;Sochaux;2;0;H;0;0;D;02.lut;02.sie;03.lut;lut.15;3;03.mar;02.lut;02.lip;03.lut;;;;02.sty;3;mar.25;02.sty;lut.87;03.mar;02.maj;01.cze
F1;23.11.2002;Le Havre;Auxerre;0;1;A;0;0;D;2.625;2.875;02.maj;02.lip;03.sty;lut.45;02.sie;02.sie;02.kwi;;;;lut.75;3;02.kwi;lut.62;lut.75;lut.62;02.maj;01.cze
F1;23.11.2002;Lille;Lyon;2;1;H;0;0;D;2.625;2.875;02.maj;02.lip;03.sty;lut.45;02.cze;02.sie;02.cze;;;;2.625;3;02.maj;02.maj;02.wrz;lut.62;02.maj;01.cze
F1;23.11.2002;Marseille;Lens;1;0;H;1;0;H;2;3;03.kwi;02.sty;03.maj;03.mar;02.lut;02.lip;03.lut;;;;02.maj;3;03.kwi;01.wrz;3;mar.75;sty.95;sty.65
F1;23.11.2002;Montpellier;Bastia;2;2;D;2;0;H;1.833;3;4;01.wrz;3;04.sty;01.wrz;02.wrz;03.sie;;;;sty.85;03.sty;4;sty.83;3;4;02.maj;01.cze
F1;23.11.2002;Nice;Rennes;0;0;D;0;0;D;1.444;03.maj;7;sty.53;mar.45;cze.75;sty.55;03.mar;05.lut;;;;1.444;03.cze;7;01.maj;03.kwi;6;sty.95;sty.65
F1;23.11.2002;Troyes;Sedan;2;0;H;1;0;H;2;2.875;03.cze;2;3;03.lip;02.lut;02.lip;03.lut;;;;2;3;03.maj;2;lut.87;03.cze;02.maj;01.cze
F1;24.11.2002;Strasbourg;Monaco;1;0;H;1;0;H;02.sty;3;03.lut;lut.15;3;mar.25;02.lut;02.lip;03.lut;;;;lut.25;3;3;02.lut;lut.87;03.sty;01.wrz;01.lip
F1;30.11.2002;Ajaccio;Le Havre;1;2;A;1;0;H;1.833;3;4;01.wrz;3;04.sty;sty.85;02.wrz;4;01.sie;03.lut;4;1.909;3;03.sie;01.sie;3;04.lut;02.maj;01.cze
F1;30.11.2002;Bastia;Marseille;2;0;H;0;0;D;02.maj;2.875;2.625;02.maj;02.wrz;02.sie;02.kwi;02.sie;02.sie;02.maj;03.lut;02.maj;02.kwi;3;lut.75;02.maj;02.wrz;lut.62;01.wrz;01.lip
F1;30.11.2002;Monaco;Paris SG;3;1;H;1;1;D;02.lut;3;3;lut.25;3;03.maj;02.sty;02.sie;03.mar;02.lut;3;3;02.mar;3;2.875;02.lut;lut.87;03.sty;01.wrz;01.lip
F1;30.11.2002;Nantes;Montpellier;3;1;H;1;0;H;1.615;mar.25;5;sty.66;mar.25;maj.25;01.lip;3;04.cze;sty.61;mar.25;5;1.615;mar.25;05.lut;sty.61;03.sty;05.maj;sty.95;sty.65
F1;30.11.2002;Rennes;Lille;5;1;H;3;0;H;02.kwi;3;02.lip;02.kwi;3;02.sie;02.kwi;02.sie;02.sie;02.maj;03.lut;02.maj;02.maj;3;02.cze;02.maj;02.wrz;lut.62;02.maj;01.cze
F1;30.11.2002;Sedan;Nice;3;0;H;1;0;H;2.625;2.875;02.maj;02.maj;02.wrz;02.sie;02.kwi;02.sie;02.sie;02.maj;03.lut;02.maj;2.625;3;02.maj;02.cze;02.sie;02.cze;02.maj;01.cze
F1;30.11.2002;Sochaux;Troyes;1;0;H;0;0;D;01.sie;03.sty;4;01.lip;03.sty;maj.15;sty.75;3;04.kwi;sty.72;03.lut;kwi.33;1.727;03.sty;kwi.75;sty.66;03.sty;5;lut.15;sty.55
F1;01.12.2002;Auxerre;Bordeaux;1;0;H;1;0;H;1.833;3;4;01.wrz;3;kwi.16;01.wrz;02.wrz;03.sie;sty.83;03.lut;mar.75;1.909;3;03.sie;01.wrz;3;mar.75;sty.95;sty.65
F1;01.12.2002;Lens;Guingamp;1;3;A;1;1;D;01.sie;03.sty;4;sty.85;3;kwi.35;01.sie;02.wrz;04.lut;01.sie;03.lut;4;sty.85;03.sty;4;sty.83;3;4;sty.95;sty.65
F1;01.12.2002;Lyon;Strasbourg;2;1;H;1;1;D;1.615;mar.25;5;sty.55;mar.35;06.lut;01.maj;03.kwi;05.cze;sty.57;mar.25;05.maj;1.533;03.kwi;6;;;;sty.75;sty.85
F1;03.12.2002;Nice;Ajaccio;3;0;H;2;0;H;1.615;mar.25;5;01.lip;mar.28;maj.27;sty.65;03.sty;04.sie;sty.62;mar.25;5;1.571;03.kwi;05.maj;sty.53;03.kwi;05.maj;2;01.lip
F1;04.12.2002;Bastia;Sedan;0;1;A;0;1;A;01.sie;03.sty;4;sty.85;03.lut;kwi.25;01.wrz;02.wrz;03.sie;01.sie;03.lut;4;01.sie;03.lut;4;01.sie;03.sty;4;sty.95;sty.65
F1;04.12.2002;Guingamp;Nantes;2;0;H;0;0;D;02.sty;3;03.lut;lut.15;3;03.mar;02.mar;02.sie;02.wrz;02.sty;3;03.lut;02.sty;3;mar.25;lut.25;lut.87;3;sty.95;sty.65
F1;04.12.2002;Le Havre;Bordeaux;1;0;H;0;0;D;02.maj;3;02.cze;lut.55;3;lut.65;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.maj;3;02.cze;lut.62;02.wrz;02.maj;sty.95;sty.65
F1;04.12.2002;Lille;Auxerre;2;2;D;2;1;H;02.lut;3;3;lut.15;3;03.mar;02.kwi;02.sie;02.sie;02.lut;3;3;02.lut;3;03.sty;2;3;03.kwi;sty.95;sty.65
F1;04.12.2002;Marseille;Sochaux;1;0;H;1;0;H;01.sie;03.sty;4;01.sie;03.sty;kwi.75;sty.75;3;04.kwi;sty.73;03.lut;kwi.33;1.727;03.lut;04.maj;sty.66;03.sty;5;sty.95;sty.65
F1;04.12.2002;Montpellier;Monaco;1;2;A;1;1;D;2.375;3;02.lip;02.maj;3;02.lip;02.cze;02.sie;02.cze;02.maj;03.lut;02.maj;02.maj;3;02.cze;lut.37;02.wrz;02.sie;sty.95;sty.65
F1;04.12.2002;Paris SG;Lyon;2;0;H;1;0;H;2.375;2.875;02.sie;02.kwi;3;lut.85;02.mar;02.sie;02.wrz;lut.38;3;lut.75;02.kwi;02.wrz;02.sie;02.mar;02.sie;3;01.sie;01.sie
F1;04.12.2002;Strasbourg;Rennes;1;3;A;0;0;D;1.667;03.sty;5;sty.75;mar.25;kwi.75;sty.65;03.sty;04.sie;sty.67;mar.25;04.maj;1.667;03.lut;5;sty.61;03.mar;5;01.wrz;01.lip
F1;04.12.2002;Troyes;Lens;0;0;D;0;0;D;2.375;3;02.lip;lut.45;3;lut.75;02.maj;02.sie;02.lip;02.maj;03.lut;02.maj;02.kwi;3;lut.75;02.kwi;02.wrz;lut.75;sty.95;sty.65
F1;14.12.2002;Sedan;Marseille;1;2;A;0;1;A;lut.25;3;2.875;02.kwi;3;02.sie;02.lut;02.sie;03.sty;lut.38;03.lut;02.cze;2.375;3;lut.75;02.mar;02.wrz;02.wrz;01.wrz;01.lip
F1;14.12.2002;Sochaux;Bastia;2;0;H;2;0;H;1.727;03.sty;04.maj;01.lip;03.mar;04.lip;01.lip;03.sty;04.kwi;sty.73;03.lut;kwi.33;1.667;03.lut;5;sty.61;03.sty;05.maj;sty.95;sty.65
F1;15.12.2002;Ajaccio;Lille;2;2;D;1;2;A;2.375;2.875;02.sie;lut.35;3;02.wrz;02.kwi;02.sie;02.sie;lut.38;03.lut;02.cze;2.375;3;lut.75;lut.37;02.sie;02.wrz;02.maj;01.cze
F1;15.12.2002;Auxerre;Strasbourg;0;0;D;0;0;D;1.667;03.sty;5;sty.65;mar.35;5;01.cze;03.mar;04.sie;sty.62;mar.25;5;1.667;03.lut;5;sty.53;mar.25;6;01.wrz;01.lip
F1;15.12.2002;Bordeaux;Nice;4;0;H;2;0;H;02.sty;3;03.lut;02.sty;03.sty;03.mar;2;02.wrz;03.kwi;02.sty;03.lut;3;02.sty;3;mar.25;02.sty;lut.87;03.mar;sty.95;sty.65
F1;15.12.2002;Lens;Le Havre;1;0;H;1;0;H;1.727;03.sty;04.maj;sty.75;03.lut;kwi.55;01.lip;03.sty;04.kwi;sty.62;mar.25;5;1.727;03.lut;04.maj;sty.66;03.sty;5;sty.85;sty.75
F1;15.12.2002;Lyon;Montpellier;1;1;D;0;0;D;1.333;4;8;sty.35;04.lut;8;01.kwi;03.lip;06.maj;sty.36;mar.75;8;1.333;4.333;07.maj;sty.36;mar.75;8;01.lip;01.wrz
F1;15.12.2002;Monaco;Guingamp;4;0;H;1;0;H;2;3;03.kwi;sty.95;03.sty;mar.75;01.wrz;3;03.cze;2;3;03.kwi;2;3;03.maj;2;3;03.kwi;01.sie;01.sie
F1;15.12.2002;Nantes;Troyes;2;1;H;2;1;H;1.667;03.sty;5;sty.65;03.mar;maj.15;sty.65;03.lut;04.cze;sty.57;mar.25;05.maj;1.615;mar.25;maj.25;sty.61;03.sty;05.maj;01.wrz;01.lip
F1;15.12.2002;Rennes;Paris SG;1;0;H;0;0;D;02.maj;03.sty;02.maj;lut.55;3;lut.65;02.lip;02.wrz;02.kwi;02.maj;03.lut;02.maj;02.maj;3;2.625;02.maj;02.wrz;lut.62;sty.85;sty.75
F1;19.12.2002;Paris SG;Bordeaux;1;1;D;1;1;D;1.833;3;4;sty.83;03.sty;kwi.25;;;;;;;1.833;03.sty;4;sty.83;3;4;sty.92;sty.73
F1;20.12.2002;Bastia;Nantes;3;1;H;1;0;H;02.mar;3;02.sie;lut.41;mar.14;lut.86;02.lut;02.wrz;3;lut.25;03.lut;lut.75;02.mar;3;2.875;lut.25;3;lut.87;02.maj;01.cze
F1;20.12.2002;Guingamp;Ajaccio;3;1;H;3;1;H;1.727;03.sty;04.maj;sty.73;mar.25;maj.25;01.cze;03.lut;5;sty.62;mar.25;5;1.667;03.lut;5;sty.61;03.sty;05.maj;sty.85;sty.91
F1;20.12.2002;Lille;Le Havre;1;0;H;0;0;D;1.727;03.sty;04.maj;sty.75;mar.24;5;01.lip;03.sty;04.kwi;sty.73;03.lut;kwi.33;1.727;03.lut;04.maj;sty.72;03.sty;04.maj;sty.95;sty.73
F1;20.12.2002;Marseille;Monaco;1;1;D;0;1;A;2;3;03.kwi;02.cze;03.maj;03.lip;sty.85;3;03.sie;sty.91;3;mar.75;2;3;03.maj;01.wrz;lut.87;4;2;sty.67
F1;20.12.2002;Sedan;Lyon;1;1;D;0;0;D;2.625;2.875;02.maj;03.sty;03.maj;lut.45;02.maj;3;02.maj;02.maj;mar.25;lut.38;2.625;3;02.maj;lut.62;02.wrz;02.maj;01.wrz;sty.94
F1;20.12.2002;Sochaux;Lens;3;0;H;0;0;D;1.909;3;mar.75;lut.17;03.sty;mar.46;02.lut;02.sie;03.sty;2;3;03.kwi;sty.85;03.sty;4;2;3;03.kwi;lut.15;sty.52
F1;20.12.2002;Strasbourg;Nice;0;0;D;0;0;D;lut.25;3;2.875;lut.34;lut.97;03.sty;02.sty;02.sie;03.mar;02.sty;3;03.lut;lut.25;2.875;03.sty;02.lut;3;3;sty.96;sty.83
F1;20.12.2002;Troyes;Rennes;0;1;A;0;0;D;lut.25;3;2.875;02.mar;03.maj;mar.15;02.sty;02.sie;03.mar;lut.38;3;lut.75;lut.25;2.875;03.sty;02.lut;3;3;2;sty.74
