Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5
F1;01.03.2003;Strasbourg;Marseille;0;0;D;0;0;D;2.625;2.875;02.maj;lut.65;03.sty;02.maj;02.lip;02.sie;02.maj;lut.62;lut.87;02.maj;lut.75;3;02.kwi;lut.75;02.wrz;02.kwi;sty.95;sty.65
F1;02.03.2003;Auxerre;Lyon;1;2;A;0;2;A;02.lut;3;3;02.lut;03.sty;03.sty;02.mar;02.sie;02.wrz;lut.25;3;lut.87;lut.25;3;3;02.lut;3;3;02.maj;01.cze
F1;08.03.2003;Bastia;Strasbourg;1;1;D;1;0;H;1.667;mar.25;04.maj;sty.72;mar.25;kwi.65;sty.65;03.lut;04.cze;sty.57;mar.25;05.maj;1.727;03.lut;04.maj;sty.66;03.mar;04.maj;lut.15;sty.55
F1;08.03.2003;Lens;Nice;0;0;D;0;0;D;1.833;3;4;sty.78;mar.15;04.maj;01.lip;03.sty;04.kwi;sty.83;3;4;1.833;3;04.lut;sty.72;03.sty;04.maj;sty.85;sty.75
F1;08.03.2003;Lyon;Ajaccio;3;1;H;2;1;H;1.333;4;8;01.kwi;mar.85;8;sty.35;4;7;01.kwi;mar.75;7;01.kwi;mar.75;07.maj;01.kwi;03.cze;07.maj;01.sie;01.sie
F1;08.03.2003;Monaco;Bordeaux;0;1;A;0;0;D;1.909;3;mar.75;sty.82;03.mar;mar.95;01.wrz;3;03.cze;01.wrz;3;mar.75;01.wrz;3;4;01.sie;03.sty;4;sty.95;sty.65
F1;08.03.2003;Nantes;Le Havre;2;0;H;1;0;H;1.667;mar.25;04.maj;sty.72;mar.25;04.cze;sty.65;03.lut;04.cze;sty.72;03.lut;kwi.33;1.727;03.lut;04.maj;sty.66;03.sty;5;02.maj;01.cze
F1;08.03.2003;Rennes;Auxerre;0;0;D;0;0;D;02.mar;3;02.sie;lut.42;03.sty;02.lip;02.maj;3;02.maj;02.maj;lut.87;lut.62;02.kwi;3;lut.75;02.mar;3;02.sie;lut.15;sty.55
F1;08.03.2003;Sedan;Guingamp;2;0;H;0;0;D;02.lut;3;3;lut.18;mar.15;03.maj;2;3;03.mar;lut.25;03.lut;lut.75;02.lut;3;03.sty;02.sty;03.sty;03.sty;01.wrz;01.lip
F1;08.03.2003;Sochaux;Lille;2;2;D;2;0;H;1.571;mar.25;05.maj;sty.62;03.mar;05.kwi;sty.65;03.lut;04.cze;sty.61;03.lut;05.maj;1.615;mar.25;maj.25;sty.57;03.mar;05.maj;lut.25;01.maj
F1;08.03.2003;Troyes;Montpellier;0;2;A;0;1;A;1.909;3;mar.75;sty.85;03.sty;04.lut;01.wrz;3;03.cze;2;3;03.kwi;01.wrz;03.sty;mar.75;01.wrz;3;mar.75;lut.15;sty.55
F1;09.03.2003;Marseille;Paris SG;0;3;A;0;1;A;1.833;3;4;sty.85;03.sty;04.lut;01.sie;03.sty;03.sie;sty.83;03.lut;mar.75;01.sie;03.sty;04.lut;01.sie;03.sty;4;02.maj;01.cze
F1;14.03.2003;Lens;Nantes;0;1;A;0;0;D;2;3;03.kwi;sty.93;03.maj;03.sie;02.sty;02.sie;03.mar;2;3;03.kwi;sty.91;03.sty;mar.75;01.wrz;3;mar.75;02.maj;01.cze
F1;14.03.2003;Lille;Montpellier;2;0;H;0;0;D;2;3;03.kwi;2;03.maj;03.cze;02.sty;02.sie;03.mar;2;03.lut;03.lut;2;3;03.maj;02.sty;lut.87;03.mar;01.wrz;01.lip
