Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;14.11.2004;Mallorca;Ath Madrid;1;1;D;1;0;H;lut.37;03.lut;lut.62;lut.55;03.lut;02.maj;02.maj;03.sty;02.sie;02.lip;3;02.mar;lut.38;3;lut.75;02.maj;03.lut;02.cze;02.maj;03.sty;02.maj;02.maj;sty.65;lut.15;sty.66;sty.75;02.maj;0;sty.72;02.gru;0;sty.75;lut.15;0
SP1;14.11.2004;Real Madrid;Albacete;6;1;H;3;1;H;sty.25;05.maj;10;01.mar;04.lip;sie.25;sty.26;05.mar;10.maj;sty.25;04.maj;9;sty.25;04.maj;10;sty.22;maj.25;11;sty.22;5;09.maj;sty.71;2;sty.66;lut.15;sty.85;sty.95;-1.5;sty.92;sty.92;-1.5;2;01.wrz;-1.5
SP1;20.11.2004;Barcelona;Real Madrid;3;0;H;2;0;H;02.lut;03.lut;mar.25;lut.15;mar.25;03.maj;02.lut;03.lut;mar.25;02.sty;02.wrz;03.lut;2;03.lut;03.lut;02.sty;mar.25;03.lut;02.sty;3;03.lut;sty.75;sty.95;01.wrz;01.wrz;sty.95;sty.85;-0.25;01.wrz;sty.94;-0.25;sty.95;sty.95;-0.25
SP1;20.11.2004;Malaga;Valencia;0;2;A;0;1;A;02.cze;03.lut;02.kwi;02.lip;03.lut;02.kwi;02.cze;03.lut;02.cze;02.wrz;3;02.lut;02.maj;03.lut;02.maj;02.cze;03.lut;02.maj;02.maj;03.sty;02.maj;02.maj;sty.65;02.lut;sty.65;02.maj;01.lip;0;sty.74;02.sty;0.25;sty.75;lut.15;0.25
SP1;20.11.2004;Villarreal;La Coruna;0;2;A;0;1;A;lut.25;03.lut;02.sie;02.mar;03.lut;02.sie;02.mar;03.lut;3;02.mar;02.wrz;02.sie;02.lut;03.lut;02.sie;02.mar;03.lut;lut.88;lut.25;03.sty;02.sie;01.wrz;sty.79;02.sty;01.lip;sty.75;02.maj;0;sty.74;02.sty;0;02.sty;01.sie;-0.25
SP1;21.11.2004;Albacete;Getafe;1;1;D;0;0;D;2;03.lut;03.mar;2;mar.25;03.kwi;2;03.lut;03.lip;01.sie;03.sty;03.sie;2;03.lut;03.lut;2;03.lut;03.maj;sty.83;03.lut;mar.75;02.maj;sty.65;lut.25;sty.61;2;sty.72;-0.5;02.kwi;01.sie;-0.5;2.075;1.825;-0.5
SP1;21.11.2004;Ath Madrid;Numancia;2;0;H;0;0;D;01.maj;03.maj;6;sty.45;03.sie;06.lip;01.maj;03.sie;06.cze;01.maj;03.maj;05.kwi;sty.53;03.maj;05.maj;01.maj;mar.75;6;sty.44;03.cze;06.maj;2;sty.71;02.sty;01.lip;sty.85;sty.95;-1;sty.88;sty.96;-1;01.wrz;2;-1
SP1;21.11.2004;Levante;Betis;1;2;A;1;1;D;02.sty;03.lut;03.sty;sty.95;mar.25;mar.55;lut.15;03.lut;mar.35;02.sty;02.wrz;03.lut;02.sty;03.lut;3;02.sty;mar.25;03.lut;lut.15;03.lut;02.wrz;02.maj;sty.65;02.lut;sty.65;sty.85;sty.95;-0.25;sty.86;sty.98;-0.25;1.875;2.025;-0.25
SP1;21.11.2004;Santander;Osasuna;1;1;D;0;1;A;02.sty;03.lut;03.sty;01.wrz;mar.25;mar.75;02.sty;03.lut;03.maj;02.lut;02.wrz;3;sty.91;03.lut;03.maj;2;03.lut;03.maj;02.maj;03.lut;03.sty;02.maj;sty.65;lut.25;sty.61;sty.75;02.maj;-0.25;sty.76;02.sie;-0.25;01.sie;02.sty;-0.25
SP1;21.11.2004;Sevilla;Espanol;1;0;H;1;0;H;01.wrz;03.lut;03.cze;01.wrz;mar.25;mar.75;sty.91;03.mar;4;01.wrz;03.sty;03.maj;sty.91;03.lut;03.maj;sty.91;mar.25;mar.75;sty.83;03.lut;mar.75;2;sty.71;lut.15;sty.66;sty.91;sty.81;-0.5;sty.92;sty.92;-0.5;1.925;1.975;-0.5
