Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
I1;03.10.2004;Palermo;Bologna;1;0;H;1;0;H;sty.83;03.sty;4;sty.75;03.maj;5;01.sie;02.wrz;5;01.sie;3;4;01.sie;lut.88;04.maj;sty.85;3;04.maj;01.sie;3;04.lut;sty.95;sty.75;2;01.sie;01.sie;sty.84;-0.5;sty.82;02.lut;-0.5;sty.85;02.maj;-0.5
I1;03.10.2004;Parma;Fiorentina;0;0;D;0;0;D;02.sty;3;mar.25;lut.15;lut.95;mar.35;02.sty;3;mar.45;2;3;03.mar;2;lut.88;03.cze;02.sty;3;03.maj;;;;sty.95;sty.75;02.sty;01.lip;01.sie;2;-0.25;02.sie;sty.76;-0.5;lut.15;sty.75;-0.5
I1;03.10.2004;Roma;Inter;3;3;D;1;1;D;lut.75;3;lut.62;02.lip;03.sty;lut.45;lut.65;3;lut.55;02.maj;3;02.maj;lut.62;lut.88;02.maj;02.maj;03.lut;02.cze;lut.62;02.wrz;02.maj;sty.65;02.sty;01.sie;2;sty.95;sty.85;0;sty.98;sty.86;0;2;01.wrz;0
I1;03.10.2004;Sampdoria;Livorno;2;0;H;0;0;D;sty.61;03.lut;05.maj;01.cze;mar.15;06.mar;sty.63;03.lut;maj.75;sty.65;03.sty;04.sie;sty.67;03.lut;5;sty.62;03.lut;6;01.cze;3;6;sty.85;sty.85;sty.95;sty.85;01.sie;2;-0.75;01.sie;02.kwi;-0.75;1.825;2.075;-0.75
I1;03.10.2004;Udinese;Juventus;0;1;A;0;0;D;4;03.sty;sty.83;kwi.15;03.sty;sty.85;04.sty;mar.15;sty.85;03.cze;3;01.wrz;mar.75;03.lut;sty.83;04.lut;03.lut;sty.83;4;03.sty;01.sie;sty.95;sty.75;02.maj;sty.75;sty.78;sty.85;0.5;sty.96;sty.88;0.5;sty.95;sty.95;0.5
I1;16.10.2004;Juventus;Messina;2;1;H;1;0;H;01.kwi;4;9;01.mar;04.maj;9;sty.33;04.lut;9;sty.33;03.sie;8;01.mar;4;9;sty.36;04.lut;8;sty.36;mar.75;8;sty.71;2;sty.85;sty.95;sty.93;sty.64;-1.5;02.sie;sty.76;-1.25;02.maj;sty.85;-1.25
I1;16.10.2004;Livorno;Roma;0;2;A;0;1;A;mar.75;03.sty;01.wrz;kwi.45;03.sty;01.sie;04.kwi;mar.15;01.sie;03.sie;03.sty;01.sie;4;3;sty.83;04.maj;03.sty;01.sie;4;lut.87;01.wrz;sty.75;sty.95;01.wrz;01.wrz;sty.84;01.sie;0.5;2;sty.84;0.5;02.maj;sty.85;0.5
I1;17.10.2004;Bologna;Atalanta;2;1;H;1;1;D;sty.83;lut.87;04.maj;sty.85;02.wrz;04.cze;sty.85;02.wrz;04.cze;2;02.lip;03.sie;01.sie;lut.88;04.maj;sty.85;03.sty;04.lut;01.sie;02.wrz;04.maj;2;sty.71;2;01.sie;sty.85;sty.78;-0.5;sty.96;sty.88;-0.5;1.975;1.925;-0.5
I1;17.10.2004;Brescia;Parma;3;1;H;2;1;H;lut.37;lut.87;lut.87;02.kwi;lut.75;03.sty;02.kwi;lut.85;3;02.maj;3;02.maj;02.maj;lut.88;lut.62;02.kwi;3;lut.88;02.kwi;02.sie;lut.87;sty.85;sty.85;2;01.sie;02.kwi;sty.46;-0.5;sty.88;sty.96;0;sty.85;02.maj;0
I1;17.10.2004;Cagliari;Milan;0;1;A;0;1;A;6;03.lut;sty.66;maj.25;03.mar;sty.65;5;03.lut;01.lip;04.lut;03.sty;sty.75;5;lut.88;sty.73;5;03.lut;01.lip;5;3;01.lip;01.wrz;sty.79;02.maj;sty.75;sty.95;01.lip;0.5;sty.96;sty.88;0.75;1.975;1.925;0.75
