Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;Attendance;Referee;HS;AS;HST;AST;HHW;AHW;HC;AC;HF;AF;HO;AO;HY;AY;HR;AR;HBP;ABP;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA
D1;27.01.2001;Bayern Munich;Bochum;3;2;H;1;1;D;27500;Edgar Steinborn ;16;5;5;2;0;0;7;4;11;14;0;4;0;1;0;0;0;10;sty.21;05.lut;10.maj;sty.25;04.mar;8;sty.25;04.maj;10;01.lut;5;11;01.lut;5;11
D1;27.01.2001;Dortmund;Cottbus;2;0;H;0;0;D;61000;Lutz Michael Fr?hlich ;17;4;8;2;0;0;7;0;13;20;6;0;0;4;0;0;0;40;sty.25;kwi.35;08.kwi;01.mar;4;7;sty.36;mar.75;8;01.mar;kwi.33;8;sty.28;04.maj;8
D1;27.01.2001;Ein Frankfurt;FC Koln;1;5;A;0;4;A;24000;Wolfgang Stark ;12;11;8;7;0;0;17;4;24;21;0;7;4;1;0;0;40;10;2;03.sty;mar.35;2;02.wrz;3;02.lut;mar.25;lut.75;2;03.sty;03.mar;2;03.mar;03.sty
D1;27.01.2001;Freiburg;Unterhaching;2;0;H;1;0;H;24000;Markus Merk ;6;4;4;1;0;0;2;3;10;9;1;1;1;0;0;0;10;0;sty.75;03.lut;04.lut;01.lip;03.sty;03.sie;sty.67;03.kwi;kwi.33;sty.67;mar.25;04.cze;sty.72;03.kwi;4
D1;27.01.2001;Kaiserslautern;Wolfsburg;0;0;D;0;0;D;36700;Helmut Krug ;13;4;5;1;0;0;9;1;18;16;3;1;2;2;1;1;45;45;sty.77;03.lut;04.maj;sty.75;03.sty;03.cze;01.sie;mar.25;mar.75;01.lip;mar.25;kwi.33;sty.66;03.kwi;kwi.33
D1;27.01.2001;Werder Bremen;Munich 1860;2;0;H;0;0;D;25000;Lutz Wagner ;14;6;8;2;0;0;6;8;14;12;2;1;1;3;0;0;10;30;sty.95;03.lut;mar.35;01.wrz;02.wrz;03.lut;sty.91;mar.25;03.kwi;2;03.sty;03.mar;2;03.lut;03.lut
D1;28.01.2001;Hamburg;Hertha;1;2;A;1;0;H;42000;Herbert Fandel ;9;11;3;6;0;0;3;3;20;26;3;1;2;2;1;1;45;45;02.maj;03.sty;03.lut;2;02.wrz;3;02.sty;03.lut;3;2;03.sty;03.mar;01.wrz;mar.25;03.kwi
D1;28.01.2001;Leverkusen;Stuttgart;4;0;H;0;0;D;22500;Helmut Fleischer ;17;5;11;2;0;0;11;3;16;13;9;2;2;2;0;1;20;45;sty.43;03.cze;06.sie;01.maj;03.kwi;04.lip;01.maj;03.kwi;6;01.kwi;mar.75;7;01.kwi;mar.75;7
D1;02.02.2001;Munich 1860;Dortmund;1;0;H;0;0;D;20500;JÅrgen Aust ;19;15;6;4;0;0;7;3;25;31;0;0;4;4;0;1;40;65;lut.65;lut.95;lut.45;02.kwi;02.wrz;02.kwi;02.maj;mar.25;lut.37;02.cze;03.sty;02.kwi;02.maj;mar.25;02.kwi
D1;03.02.2001;FC Koln;Freiburg;0;1;A;0;0;D;30000;J?rg Kessler ;11;17;4;9;0;1;1;7;19;16;1;1;1;4;0;0;10;40;sty.75;03.lut;4;01.sie;3;03.maj;sty.73;03.kwi;4;sty.75;mar.25;4;sty.72;03.kwi;4
D1;03.02.2001;Bochum;Hertha;1;3;A;0;1;A;10000;Peter Sippel ;12;14;4;6;0;0;9;5;17;19;2;0;2;2;0;0;20;20;02.cze;3;02.maj;02.kwi;02.wrz;02.kwi;lut.75;03.lut;lut.25;lut.63;03.sty;lut.38;02.maj;mar.25;02.kwi
D1;03.02.2001;Cottbus;Schalke 04;4;1;H;2;0;H;17000;Florian Meyer ;19;20;11;11;1;0;5;3;18;24;1;0;2;1;0;1;20;35;lut.95;3;lut.25;03.lut;02.wrz;01.wrz;3;03.lut;02.sty;3;03.sty;02.maj;3;03.lut;02.sty
D1;03.02.2001;Stuttgart;Kaiserslautern;6;1;H;3;1;H;13000;Michael Weiner ;17;11;8;2;1;1;1;6;17;21;2;3;2;4;0;0;20;40;lut.37;02.wrz;02.sie;02.mar;02.wrz;02.maj;lut.25;03.lut;lut.75;02.mar;03.sty;02.lip;lut.37;03.sty;lut.62
D1;03.02.2001;Werder Bremen;Hamburg;3;1;H;1;0;H;31526;Hermann Albrecht ;15;14;6;5;0;1;3;6;21;21;3;1;4;3;0;0;40;30;sty.91;03.sty;03.cze;2;02.wrz;3;01.sie;03.maj;03.maj;sty.85;mar.25;03.cze;01.wrz;03.sty;03.cze
D1;03.02.2001;Wolfsburg;Bayern Munich;1;3;A;1;2;A;20400;Lutz Michael Fr?hlich ;11;11;5;7;0;1;6;2;11;11;2;4;0;1;0;0;0;10;mar.25;lut.95;02.sty;02.wrz;02.wrz;02.sty;3;03.lut;02.sty;03.sty;03.sty;02.sty;03.sty;03.sty;02.sty
D1;04.02.2001;Hansa Rostock;Ein Frankfurt;0;2;A;0;2;A;11000;Franz-Xaver Wack ;10;12;3;6;0;0;16;3;18;34;8;6;1;3;1;2;35;80;01.sie;03.lut;03.wrz;01.sie;3;03.maj;01.sie;mar.25;mar.75;sty.75;mar.25;4;01.sie;03.kwi;03.cze
D1;04.02.2001;Unterhaching;Leverkusen;1;2;A;1;1;D;9000;Peter Gagelmann ;16;10;5;4;0;0;3;4;20;23;1;4;2;2;1;0;45;20;03.maj;02.wrz;lut.25;3;02.wrz;2;02.sie;03.lut;02.lut;03.sty;3;lut.15;3;3;02.lut
D1;09.02.2001;Ein Frankfurt;Cottbus;1;0;H;0;0;D;20000;Markus Merk ;13;15;5;5;0;0;6;8;15;16;1;0;2;2;0;0;20;20;01.sie;03.lut;4;sty.65;03.lut;03.wrz;;;;sty.75;mar.25;4;01.sie;03.mar;mar.75
D1;10.02.2001;Bayern Munich;Stuttgart;1;0;H;1;0;H;35000;Uwe Kemmling ;11;7;4;2;0;0;8;1;17;14;2;2;4;1;0;0;40;10;sty.28;04.kwi;08.cze;01.kwi;03.cze;05.maj;;;;sty.33;4;8;sty.33;4;8
D1;10.02.2001;Hamburg;Bochum;3;0;H;3;0;H;25000;Hartmut Strampe ;19;8;6;4;1;0;5;1;27;11;1;3;1;5;0;0;10;50;01.maj;03.cze;05.cze;sty.55;03.mar;04.maj;;;;sty.55;03.maj;maj.25;sty.57;03.maj;5
D1;10.02.2001;Hertha;Wolfsburg;1;3;A;0;1;A;37000;JÅrgen Jansen ;5;10;3;6;0;0;0;2;5;5;0;0;1;3;0;0;10;30;sty.68;mar.25;04.cze;01.lip;03.sty;03.sie;;;;sty.67;03.mar;04.maj;sty.66;03.kwi;kwi.33
D1;10.02.2001;Kaiserslautern;Unterhaching;4;0;H;3;0;H;36000;JÅrgen Aust ;23;3;14;2;2;0;11;8;15;15;1;2;1;3;0;1;10;55;01.maj;03.maj;05.wrz;sty.45;03.maj;5;;;;01.maj;03.maj;maj.75;01.maj;03.cze;05.maj
