Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
D1;14.08.2004;Hansa Rostock;Werder Bremen;0;4;A;0;0;D;11;14;18;23;6;4;1;2;0;0;02.sie;mar.25;02.lut;03.kwi;mar.25;2;03.lut;03.mar;lut.15;02.wrz;3;02.lut;lut.75;mar.25;02.lut;3;03.lut;02.lut;02.wrz;03.lut;lut.15;01.cze;lut.15;sty.75;02.maj;sty.95;01.wrz;0.25;sty.94;01.wrz;0.25;1.875;2.025;0.25
D1;14.08.2004;Mainz;Hamburg;2;1;H;0;1;A;14;8;16;30;1;9;1;3;0;0;02.cze;03.lut;02.kwi;02.maj;03.mar;02.maj;lut.65;03.mar;02.maj;02.maj;3;02.maj;02.cze;03.lut;lut.38;02.cze;03.lut;02.maj;02.maj;mar.25;02.kwi;sty.55;lut.25;sty.75;02.maj;02.lut;01.cze;-0.25;sty.98;sty.86;0;2.025;1.875;0
D1;14.08.2004;M'gladbach;Dortmund;2;3;A;2;3;A;18;12;17;24;5;4;4;1;0;0;02.maj;03.lut;02.maj;02.maj;03.mar;02.maj;lut.45;03.mar;02.lip;02.mar;3;02.lip;02.kwi;mar.25;02.maj;02.cze;03.lut;02.maj;02.kwi;03.sty;02.cze;sty.79;01.wrz;01.wrz;01.wrz;02.mar;sty.55;-0.25;sty.96;sty.88;0;sty.95;sty.95;0
D1;14.08.2004;Nurnberg;Stuttgart;1;1;D;1;1;D;16;5;19;16;2;3;2;4;0;1;02.sie;mar.25;02.lut;03.lut;03.mar;02.maj;mar.25;mar.15;02.lut;02.wrz;3;02.lut;02.sie;03.lut;02.lut;lut.88;03.lut;lut.25;lut.62;03.lut;02.mar;sty.79;01.wrz;sty.85;sty.95;sty.95;01.wrz;0.25;2;sty.84;0.25;sty.95;sty.95;0.25
D1;14.08.2004;Schalke 04;Kaiserslautern;2;1;H;1;1;D;21;5;10;16;11;2;1;2;0;1;sty.53;03.maj;05.maj;01.maj;03.lip;6;sty.51;03.sie;cze.45;01.maj;03.lip;5;01.maj;03.kwi;6;sty.53;03.cze;6;01.maj;03.kwi;6;sty.65;02.maj;01.lip;02.sty;02.lut;01.cze;-1.25;01.sie;02.kwi;-1;01.wrz;2;-1
D1;15.08.2004;Bochum;Leverkusen;2;2;D;1;0;H;13;18;25;27;7;5;3;1;0;0;lut.37;03.lut;lut.62;02.maj;03.mar;02.maj;lut.45;03.lut;02.sie;02.lut;3;02.wrz;lut.38;03.lut;02.cze;02.kwi;03.lut;02.lip;02.mar;03.sty;lut.75;01.cze;lut.15;01.sie;2;02.lut;01.cze;-0.25;01.wrz;sty.94;0;sty.85;02.maj;0
D1;15.08.2004;Wolfsburg;Freiburg;0;1;A;0;0;D;14;7;25;13;10;2;1;1;0;0;sty.61;03.kwi;5;sty.65;03.cze;04.lip;sty.65;03.maj;05.mar;sty.65;03.mar;04.kwi;sty.62;03.maj;04.maj;sty.62;03.kwi;05.maj;sty.61;03.mar;5;sty.55;lut.25;01.cze;02.lut;02.sty;sty.65;-1;sty.96;sty.88;-1;1.775;2.125;-0.75
D1;28.08.2004;Bielefeld;Bochum;1;2;A;0;1;A;21;8;18;22;13;2;1;4;0;1;02.mar;03.lut;02.lip;02.kwi;03.mar;02.cze;lut.45;mar.35;02.lip;02.kwi;3;02.cze;02.kwi;mar.25;02.maj;02.kwi;03.lut;02.lip;02.kwi;03.sty;02.cze;sty.85;sty.85;01.sie;2;sty.85;2;0;sty.86;sty.98;0;01.wrz;2;0
D1;28.08.2004;Freiburg;M'gladbach;1;1;D;1;0;H;10;13;15;11;3;3;0;3;0;0;01.wrz;mar.25;03.maj;sty.95;03.mar;03.maj;sty.95;mar.35;03.lip;02.sty;3;03.sty;sty.91;mar.25;03.kwi;2;03.lut;03.maj;2;03.lut;03.lut;sty.71;2;sty.65;02.lut;sty.65;02.sty;-0.25;lut.14;01.lip;-0.5;1.825;2.075;-0.25
D1;28.08.2004;Hamburg;Nurnberg;4;3;H;2;1;H;14;15;20;22;6;5;1;3;0;0;01.sie;mar.25;4;sty.75;03.kwi;04.lut;01.sie;mar.45;kwi.25;sty.75;03.lut;4;01.sie;mar.25;mar.75;01.sie;03.kwi;4;01.wrz;03.lut;03.maj;01.cze;lut.15;sty.66;lut.15;2;sty.85;-0.75;02.lut;sty.82;0.5;02.sty;01.sie;-0.75
