Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SOH;SOD;SOA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;GBAHH;GBAHA;GBAH;B365AHH;B365AHA;B365AH
F1;08.05.2004;Metz;Lyon;1;2;A;1;1;D;4;03.lut;01.sie;mar.65;03.lut;sty.85;03.sie;03.sty;01.sie;mar.75;mar.25;01.sie;mar.75;mar.25;sty.83;mar.75;mar.25;sty.83;04.lut;mar.25;sty.72;02.mar;01.maj;sty.71;sty.85;0.5;02.maj;sty.85;0.5
F1;08.05.2004;Montpellier;Nice;2;2;D;1;1;D;01.wrz;03.lut;03.maj;01.wrz;mar.25;03.kwi;01.sie;03.mar;03.cze;2;03.lut;03.lut;2;03.lut;03.mar;01.wrz;mar.25;03.maj;01.wrz;03.sty;03.cze;2;sty.65;01.wrz;sty.66;-0.5;sty.95;sty.95;-0.5
F1;08.05.2004;Paris SG;Rennes;1;0;H;0;0;D;sty.33;4;8;01.mar;04.lut;08.maj;01.mar;4;08.maj;sty.25;04.maj;10;sty.33;4;08.maj;sty.33;4;08.maj;sty.28;kwi.33;08.maj;sty.75;01.wrz;;;;sty.95;sty.95;-1.5
F1;08.05.2004;Sochaux;Lens;0;3;A;0;2;A;sty.66;03.mar;04.maj;01.cze;03.kwi;kwi.75;sty.65;03.lut;04.cze;sty.67;mar.25;04.maj;sty.67;03.kwi;04.maj;sty.67;03.kwi;04.maj;sty.57;03.mar;05.maj;02.sty;01.cze;sty.95;sty.85;-1;02.maj;sty.85;-1
F1;08.05.2004;Toulouse;Nantes;0;1;A;0;0;D;02.maj;03.sty;02.maj;02.kwi;03.sty;lut.55;02.lut;03.sty;02.sie;lut.25;03.lut;lut.75;lut.38;03.sty;02.lip;lut.38;03.sty;02.lip;lut.37;03.mar;02.maj;02.lut;sty.55;01.sie;2;0;1.825;2.025;0
F1;09.05.2004;Monaco;Marseille;1;0;H;0;0;D;sty.61;mar.25;5;sty.65;03.mar;04.cze;01.cze;03.kwi;04.cze;sty.73;03.lut;kwi.33;sty.67;mar.25;kwi.75;sty.67;mar.25;kwi.75;sty.61;03.mar;5;sty.83;sty.83;01.sie;2;-0.75;sty.85;02.maj;-0.75
F1;11.05.2004;Bordeaux;Paris SG;3;0;H;1;0;H;03.lut;03.lut;2;03.kwi;mar.15;01.wrz;03.sty;3;02.sty;mar.75;mar.25;01.sie;03.kwi;03.sty;2;03.kwi;03.sty;2;3;3;02.lut;02.mar;01.maj;sty.64;01.wrz;0.5;;;
F1;11.05.2004;Lens;Auxerre;1;3;A;1;1;D;02.maj;mar.25;02.kwi;02.cze;03.lut;lut.25;02.sie;02.sie;02.kwi;02.kwi;mar.25;02.maj;02.cze;03.lut;02.kwi;02.cze;03.lut;02.kwi;02.maj;03.sty;02.maj;02.lut;sty.55;sty.43;lut.25;0.5;sty.95;sty.95;0
F1;12.05.2004;Ajaccio;Sochaux;1;0;H;1;0;H;02.sty;03.lut;3;02.maj;3;mar.15;sty.85;03.sty;03.cze;lut.25;03.lut;lut.75;02.sty;03.lut;03.sty;02.sty;03.lut;03.sty;sty.83;03.kwi;03.maj;02.lut;sty.55;02.maj;sty.54;-0.5;;;
F1;12.05.2004;Le Mans;Lille;1;1;D;1;1;D;sty.83;03.lut;mar.75;01.lip;03.mar;4;sty.75;03.lut;4;sty.91;03.lut;03.maj;01.sie;mar.25;4;01.sie;mar.25;4;sty.72;mar.25;04.lut;2;sty.65;01.lip;sty.81;-0.5;;;
